network,seed,hosts,vulns,model,filter,aggregation,num_paths,id_path,impact,exploit,score,risk,mod,path_time,source,target
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,6,5.873118720000001,3.8870427750000003,9.8,3.7744484750146587,3.0226493374386765,0.02,USER@host-3,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,7,5.873118720000001,3.8870427750000003,9.8,14.826562111473956,6.392692339423329,0.02,USER@host-3,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,8,5.873118720000001,3.8870427750000003,9.8,14.995797884183892,6.404126245075995,0.02,USER@host-3,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,9,5.873118720000001,3.8870427750000003,9.8,9.647481823684322,4.486232376209922,0.02,USER@host-3,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,10,5.873118720000001,3.8870427750000003,9.8,13.907269270623773,6.332513328304468,0.02,USER@host-3,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,11,5.873118720000001,3.8870427750000003,9.8,14.689946036772499,6.383542228793622,0.02,USER@host-6,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,12,5.873118720000001,3.8870427750000003,9.8,14.689946036772499,6.383542228793622,0.02,USER@host-6,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,13,5.873118720000001,3.8870427750000003,9.8,12.626016758876036,6.254210852588482,0.02,USER@host-6,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,14,5.873118720000001,3.8870427750000003,9.8,0.0,2.782233098621429,0.02,USER@host-6,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,15,5.873118720000001,3.8870427750000003,9.8,12.626016758876036,6.254210852588482,0.02,USER@host-6,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,16,5.873118720000001,3.8870427750000003,9.8,3.7514978790674514,3.0082926410102773,0.02,USER@host-6,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,17,5.873118720000001,3.8870427750000003,9.8,14.74772960210475,6.3874036504376095,0.02,USER@host-6,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,18,5.873118720000001,3.8870427750000003,9.8,14.83861554712172,6.393503074400439,0.02,USER@host-6,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,19,5.873118720000001,3.8870427750000003,9.8,9.601360816478577,4.4785708280716925,0.02,USER@host-6,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,20,5.873118720000001,3.8870427750000003,9.8,13.829216163922665,6.327555768206196,0.02,USER@host-6,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,21,5.873118720000001,3.8870427750000003,9.8,14.95164022648143,6.4011323278256835,0.02,USER@host-8,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,22,5.873118720000001,3.8870427750000003,9.8,14.95164022648143,6.4011323278256835,0.02,USER@host-8,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,23,5.873118720000001,3.8870427750000003,9.8,12.692684944087912,6.2581218202326285,0.02,USER@host-8,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,24,5.873118720000001,3.8870427750000003,9.8,0.0,2.807143943459698,0.02,USER@host-8,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,25,5.873118720000001,3.8870427750000003,9.8,12.692684944087912,6.2581218202326285,0.02,USER@host-8,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,26,5.873118720000001,3.8870427750000003,9.8,3.799851604417611,3.0385624396159607,0.02,USER@host-8,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,27,5.873118720000001,3.8870427750000003,9.8,14.972066055887138,6.402516288587618,0.02,USER@host-8,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,28,5.873118720000001,3.8870427750000003,9.8,15.001015841782891,6.404480516578949,0.02,USER@host-8,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,29,5.873118720000001,3.8870427750000003,9.8,9.710007148353771,4.496656578601939,0.02,USER@host-8,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,30,5.873118720000001,3.8870427750000003,9.8,14.030118780964836,6.340364715852366,0.02,USER@host-8,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,31,5.873118720000001,3.8870427750000003,9.8,14.967783237517612,6.40222597265827,0.01,NONE@host-7,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,32,5.873118720000001,3.8870427750000003,9.8,14.967783237517612,6.40222597265827,0.01,NONE@host-7,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,33,5.873118720000001,3.8870427750000003,9.8,12.670918459325197,6.256842933563399,0.01,NONE@host-7,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,34,5.873118720000001,3.8870427750000003,9.8,0.0,2.80620242232,0.01,NONE@host-7,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,35,5.873118720000001,3.8870427750000003,9.8,12.670918459325197,6.256842933563399,0.01,NONE@host-7,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,36,5.873118720000001,3.8870427750000003,9.8,3.8003633338255933,3.0388832362087004,0.01,NONE@host-7,NONE@host-1
