network,scan,step,filter,aggregation,model,aggregation_time
merged_f1_t330,merged,330,1,3,MULTI,0.0035247000050731003
merged_f1_t340,merged,340,1,0,NETSPA,0
merged_f1_t340,merged,340,1,0,TVA,0
merged_f1_t340,merged,340,1,0,MULTI,0
merged_f1_t340,merged,340,1,1,NETSPA,0.004219900001771748
merged_f1_t340,merged,340,1,1,TVA,0.004219900001771748
merged_f1_t340,merged,340,1,1,MULTI,0.004219900001771748
merged_f1_t340,merged,340,1,2,NETSPA,0.01153709998470731
merged_f1_t340,merged,340,1,2,TVA,0.01153709998470731
merged_f1_t340,merged,340,1,2,MULTI,0.01153709998470731
merged_f1_t340,merged,340,1,3,NETSPA,0.0035133000055793673
merged_f1_t340,merged,340,1,3,TVA,0.0035133000055793673
merged_f1_t340,merged,340,1,3,MULTI,0.0035133000055793673
merged_f1_t350,merged,350,1,0,NETSPA,0
merged_f1_t350,merged,350,1,0,TVA,0
merged_f1_t350,merged,350,1,0,MULTI,0
merged_f1_t350,merged,350,1,1,NETSPA,0.004183300014119595
merged_f1_t350,merged,350,1,1,TVA,0.004183300014119595
merged_f1_t350,merged,350,1,1,MULTI,0.004183300014119595
merged_f1_t350,merged,350,1,2,NETSPA,0.008880600013071671
merged_f1_t350,merged,350,1,2,TVA,0.008880600013071671
merged_f1_t350,merged,350,1,2,MULTI,0.008880600013071671
merged_f1_t350,merged,350,1,3,NETSPA,0.004999199998565018
merged_f1_t350,merged,350,1,3,TVA,0.004999199998565018
merged_f1_t350,merged,350,1,3,MULTI,0.004999199998565018
merged_f1_t360,merged,360,1,0,NETSPA,0
merged_f1_t360,merged,360,1,0,TVA,0
merged_f1_t360,merged,360,1,0,MULTI,0
merged_f1_t360,merged,360,1,1,NETSPA,0.004094300005817786
merged_f1_t360,merged,360,1,1,TVA,0.004094300005817786
merged_f1_t360,merged,360,1,1,MULTI,0.004094300005817786
merged_f1_t360,merged,360,1,2,NETSPA,0.012434200005372986
merged_f1_t360,merged,360,1,2,TVA,0.012434200005372986
merged_f1_t360,merged,360,1,2,MULTI,0.012434200005372986
merged_f1_t360,merged,360,1,3,NETSPA,0.004185800004051998
merged_f1_t360,merged,360,1,3,TVA,0.004185800004051998
merged_f1_t360,merged,360,1,3,MULTI,0.004185800004051998
merged_f1_t370,merged,370,1,0,NETSPA,0
merged_f1_t370,merged,370,1,0,TVA,0
merged_f1_t370,merged,370,1,0,MULTI,0
merged_f1_t370,merged,370,1,1,NETSPA,0.007589899993035942
merged_f1_t370,merged,370,1,1,TVA,0.007589899993035942
merged_f1_t370,merged,370,1,1,MULTI,0.007589899993035942
